transfer_rate,drop_rate,errors_rate,fifo_errors_rate,cpu_usage_percentage,rx_ring_size,tx_ring_size,cores,governor,cpu_freq,io_scheduler,task_scheduler,kernel.sched_min_granularity_ns,kernel.sched_wakeup_granularity_ns,kernel.sched_migration_cost_ns,kernel.numa_balancing,kernel.pid_max,net.core.netdev_max_backlog,net.core.netdev_budget,net.core.somaxconn,net.core.busy_poll,net.core.busy_read,net.core.rmem_max,net.core.wmem_max,net.core.rmem_default,net.core.wmem_default,tcp_fastopen,tcp_lowlatency,tcp_sack,tcp_rmem[0],tcp_rmem[1],tcp_rmem[2],tcp_wmem[0],tcp_wmem[1],tcp_wmem[2],tcp_max_syn_backlog,tcp_tw_reuse,tcp_tw_recycle,tcp_timestamps,tcp_syn_retries,rx_interrupt_coalesce_usecs,rx_interrupt_max_coalesce_frames,tx_interrupt_coalesce_usecs,tx_interrupt_max_coalesce_frames,rx_checksum_offload,tx_checksum_offload,general_segmentation_offload,tcp_segmentation_offload,general_receive_offload,large_receive_offload,rx_vlan_offload,tx_vlan_offload,rx_hash
5500000,9600,1,1,20,4096,4096,20,2,2000,2,2,1,1,1,1,1,1000,300,4096,0,0,8589934592,8589934592,67108864,67108864,1,1,1,10240,87380,67108864,10240,87380,67108864,8192,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0
5800000,9600,1,1,20,4096,4096,20,2,2000,2,2,1,1,1,1,1,1000,300,4096,0,0,8589934592,8589934592,67108864,67108864,1,1,1,10240,87380,67108864,10240,87380,67108864,8192,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0
6100000,9600,1,1,20,4096,4096,20,2,2000,2,2,1,1,1,1,1,1000,300,4096,0,0,8589934592,8589934592,67108864,67108864,1,1,1,10240,87380,67108864,10240,87380,67108864,8192,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0
6400000,9600,1,1,20,4096,4096,20,2,2000,2,2,1,1,1,1,1,1000,300,4096,0,0,8589934592,8589934592,67108864,67108864,1,1,1,10240,87380,67108864,10240,87380,67108864,8192,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0
6700000,9600,1,1,20,4096,4096,20,2,2000,2,2,1,1,1,1,1,1000,300,4096,0,0,8589934592,8589934592,67108864,67108864,1,1,1,10240,87380,67108864,10240,87380,67108864,8192,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0
7000000,9600,1,1,20,4096,4096,20,2,2000,2,2,1,1,1,1,1,1000,300,4096,0,0,8589934592,8589934592,67108864,67108864,1,1,1,10240,87380,67108864,10240,87380,67108864,8192,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0
7300000,9600,1,1,20,4096,4096,20,2,2000,2,2,1,1,1,1,1,1000,300,4096,0,0,8589934592,8589934592,67108864,67108864,1,1,1,10240,87380,67108864,10240,87380,67108864,8192,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0
7600000,9600,1,1,20,4096,4096,20,2,2000,2,2,1,1,1,1,1,1000,300,4096,0,0,8589934592,8589934592,67108864,67108864,1,1,1,10240,87380,67108864,10240,87380,67108864,8192,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0
7900000,9600,1,1,20,4096,4096,20,2,2000,2,3,1,1,1,1,1,1000,300,4096,0,0,8589934592,8589934592,67108864,67108864,1,1,1,10240,87380,67108864,10240,87380,67108864,8192,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0
8200000,9600,1,1,20,4096,4096,20,2,2000,2,3,1,1,1,1,1,1000,300,4096,0,0,8589934592,8589934592,67108864,67108864,1,1,1,10240,87380,67108864,10240,87380,67108864,8192,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0
8500000,9600,1,1,20,4096,4096,20,2,2000,2,3,1,1,1,1,1,1000,300,4096,0,0,8589934592,8589934592,67108864,67108864,1,1,1,10240,87380,67108864,10240,87380,67108864,8192,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0
8800000,9600,1,1,20,4096,4096,20,2,2000,2,3,1,1,1,1,1,1000,300,4096,0,0,8589934592,8589934592,67108864,67108864,1,1,1,10240,87380,67108864,10240,87380,67108864,8192,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0
9100000,9600,1,1,20,4096,4096,20,2,2000,2,3,1,1,1,1,1,1000,300,4096,0,0,8589934592,8589934592,67108864,67108864,1,1,1,10240,87380,67108864,10240,87380,67108864,8192,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0
9400000,9600,1,1,20,4096,4096,20,2,2000,2,3,1,1,1,1,1,1000,300,4096,0,0,8589934592,8589934592,67108864,67108864,1,1,1,10240,87380,67108864,10240,87380,67108864,8192,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0
9700000,9600,1,1,20,4096,4096,20,2,2000,2,3,1,1,1,1,1,1000,300,4096,0,0,8589934592,8589934592,67108864,67108864,1,1,1,10240,87380,67108864,10240,87380,67108864,8192,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0
10000000,9600,1,1,20,4096,4096,20,2,2000,2,3,1,1,1,1,1,1000,300,4096,0,0,8589934592,8589934592,67108864,67108864,1,1,1,10240,87380,67108864,10240,87380,67108864,8192,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0
